L, J, Vol, γ, λ1, Λ1
4.9419e+00, 4.8178e+00, 2.6531e-01, 1.0000e-01, 0.0000e+00, 3.5254e+00
4.3906e+00, 4.2557e+00, 2.7658e-01, 1.0000e-01, -9.7504e-01, 3.5254e+00
4.2437e+00, 3.8191e+00, 2.8678e-01, 1.0000e-01, -1.9860e+00, 3.5254e+00
4.2151e+00, 3.4737e+00, 2.9571e-01, 1.0000e-01, -3.0285e+00, 3.5254e+00
4.2779e+00, 3.1977e+00, 3.0318e-01, 1.0000e-01, -4.0974e+00, 3.5254e+00
4.4092e+00, 2.9750e+00, 3.0896e-01, 1.0000e-01, -5.1866e+00, 3.8779e+00
4.6075e+00, 2.7967e+00, 3.1260e-01, 1.0000e-01, -6.3988e+00, 3.8779e+00
4.8540e+00, 2.6569e+00, 3.1356e-01, 1.0000e-01, -7.6148e+00, 3.8779e+00
5.1087e+00, 2.5517e+00, 3.1114e-01, 1.0000e-01, -8.8214e+00, 3.8779e+00
5.3472e+00, 2.4715e+00, 3.0548e-01, 1.0000e-01, -1.0006e+01, 3.8779e+00
5.5228e+00, 2.4381e+00, 2.9178e-01, 1.0000e-01, -1.1138e+01, 4.2657e+00
5.5496e+00, 2.4646e+00, 2.6368e-01, 1.0000e-01, -1.2262e+01, 4.2657e+00
5.5085e+00, 2.5323e+00, 2.3325e-01, 1.0000e-01, -1.3257e+01, 4.2657e+00
5.3903e+00, 2.6163e+00, 2.0264e-01, 1.0000e-01, -1.4122e+01, 4.2657e+00
5.2096e+00, 2.7136e+00, 1.7227e-01, 1.0000e-01, -1.4856e+01, 4.2657e+00
4.9560e+00, 2.8330e+00, 1.4008e-01, 1.0000e-01, -1.5454e+01, 4.6923e+00
4.7102e+00, 2.9771e+00, 1.1030e-01, 1.0000e-01, -1.5972e+01, 4.6923e+00
4.4487e+00, 3.1381e+00, 8.1089e-02, 1.0000e-01, -1.6352e+01, 4.6923e+00
4.1979e+00, 3.2485e+00, 5.7580e-02, 1.0000e-01, -1.6622e+01, 4.6923e+00
3.9577e+00, 3.3335e+00, 3.7355e-02, 1.0000e-01, -1.6798e+01, 4.6923e+00
3.7325e+00, 3.4129e+00, 1.8980e-02, 1.0000e-01, -1.6887e+01, 5.1615e+00
3.5266e+00, 3.4921e+00, 2.0417e-03, 1.0000e-01, -1.6897e+01, 5.1615e+00
3.3353e+00, 3.5782e+00, -1.4404e-02, 1.0000e-01, -1.6823e+01, 5.1615e+00
3.1608e+00, 3.6594e+00, -2.9775e-02, 1.0000e-01, -1.6669e+01, 5.1615e+00
3.0202e+00, 3.7337e+00, -4.3089e-02, 1.0000e-01, -1.6447e+01, 5.1615e+00
2.9414e+00, 3.7314e+00, -4.8406e-02, 1.0000e-01, -1.6197e+01, 5.6777e+00
2.8660e+00, 3.8724e+00, -6.2827e-02, 1.0000e-01, -1.5840e+01, 5.6777e+00
2.8388e+00, 3.7256e+00, -5.6560e-02, 1.0000e-01, -1.5519e+01, 5.6777e+00
2.8156e+00, 4.0064e+00, -7.7837e-02, 1.0000e-01, -1.5077e+01, 5.6777e+00
2.8218e+00, 3.7111e+00, -5.9660e-02, 1.0000e-01, -1.4738e+01, 5.6777e+00
2.8009e+00, 3.9543e+00, -7.9475e-02, 1.0000e-01, -1.4287e+01, 6.2455e+00
2.8192e+00, 3.6716e+00, -6.0462e-02, 1.0000e-01, -1.3910e+01, 6.2455e+00
2.8084e+00, 3.8931e+00, -7.9393e-02, 1.0000e-01, -1.3414e+01, 6.2455e+00
2.8382e+00, 3.6163e+00, -5.8819e-02, 1.0000e-01, -1.3046e+01, 6.2455e+00
2.8421e+00, 3.8342e+00, -7.7486e-02, 1.0000e-01, -1.2562e+01, 6.2455e+00
2.8510e+00, 3.6064e+00, -6.1061e-02, 1.0000e-01, -1.2181e+01, 6.8700e+00
2.8687e+00, 3.7233e+00, -7.1602e-02, 1.0000e-01, -1.1689e+01, 6.8700e+00
2.8765e+00, 3.5464e+00, -5.8307e-02, 1.0000e-01, -1.1289e+01, 6.8700e+00
2.8912e+00, 3.5781e+00, -6.2024e-02, 1.0000e-01, -1.0862e+01, 6.8700e+00
2.8980e+00, 3.4547e+00, -5.2108e-02, 1.0000e-01, -1.0504e+01, 6.8700e+00
2.9096e+00, 3.4682e+00, -5.4141e-02, 1.0000e-01, -1.0133e+01, 7.5570e+00
2.9138e+00, 3.3663e+00, -4.5425e-02, 1.0000e-01, -9.7892e+00, 7.5570e+00
2.9229e+00, 3.3549e+00, -4.4916e-02, 1.0000e-01, -9.4498e+00, 7.5570e+00
2.9237e+00, 3.2721e+00, -3.7437e-02, 1.0000e-01, -9.1669e+00, 7.5570e+00
2.9304e+00, 3.2861e+00, -3.9442e-02, 1.0000e-01, -8.8688e+00, 7.5570e+00
2.9280e+00, 3.2001e+00, -3.1089e-02, 1.0000e-01, -8.6339e+00, 8.3127e+00
2.9327e+00, 3.1982e+00, -3.1215e-02, 1.0000e-01, -8.3744e+00, 8.3127e+00
2.9284e+00, 3.1241e+00, -2.3641e-02, 1.0000e-01, -8.1779e+00, 8.3127e+00
2.9326e+00, 3.1557e+00, -2.7664e-02, 1.0000e-01, -7.9479e+00, 8.3127e+00
