L, J, Vol, γ, λ1, Λ1
8.7273e-02, 8.5845e-02, 1.1070e-01, 1.0000e-01, 0.0000e+00, 2.3308e-01
7.5373e-02, 6.7867e-02, 2.5379e-01, 1.0000e-01, -5.9155e-02, 2.3308e-01
9.0453e-02, 6.6940e-02, 2.6212e-01, 1.0000e-01, -1.2025e-01, 2.3308e-01
1.0546e-01, 6.7588e-02, 2.5293e-01, 1.0000e-01, -1.7920e-01, 2.3308e-01
1.1946e-01, 6.8341e-02, 2.4591e-01, 1.0000e-01, -2.3652e-01, 2.3308e-01
1.3272e-01, 6.9133e-02, 2.4038e-01, 1.0000e-01, -2.9255e-01, 2.5639e-01
1.4602e-01, 6.9954e-02, 2.3568e-01, 1.0000e-01, -3.5297e-01, 2.5639e-01
1.6325e-01, 7.0188e-02, 2.4232e-01, 1.0000e-01, -4.1510e-01, 2.5639e-01
1.7428e-01, 7.1084e-02, 2.3199e-01, 1.0000e-01, -4.7458e-01, 2.5639e-01
1.8723e-01, 7.1852e-02, 2.2896e-01, 1.0000e-01, -5.3329e-01, 2.5639e-01
1.9971e-01, 7.2569e-02, 2.2612e-01, 1.0000e-01, -5.9126e-01, 2.8203e-01
2.1241e-01, 7.3255e-02, 2.2345e-01, 1.0000e-01, -6.5428e-01, 2.8203e-01
2.2530e-01, 7.3943e-02, 2.2082e-01, 1.0000e-01, -7.1656e-01, 2.8203e-01
2.3486e-01, 7.4617e-02, 2.1457e-01, 1.0000e-01, -7.7707e-01, 2.8203e-01
2.5138e-01, 7.5285e-02, 2.1799e-01, 1.0000e-01, -8.3855e-01, 2.8203e-01
2.6246e-01, 7.5921e-02, 2.1470e-01, 1.0000e-01, -8.9911e-01, 3.1023e-01
2.7433e-01, 7.6587e-02, 2.1217e-01, 1.0000e-01, -9.6493e-01, 3.1023e-01
2.8672e-01, 7.7252e-02, 2.0999e-01, 1.0000e-01, -1.0301e+00, 3.1023e-01
2.9478e-01, 7.7835e-02, 2.0433e-01, 1.0000e-01, -1.0935e+00, 3.1023e-01
3.1220e-01, 7.8652e-02, 2.0748e-01, 1.0000e-01, -1.1578e+00, 3.1023e-01
3.1813e-01, 7.9204e-02, 2.0095e-01, 1.0000e-01, -1.2202e+00, 3.4126e-01
3.3189e-01, 8.0038e-02, 2.0077e-01, 1.0000e-01, -1.2887e+00, 3.4126e-01
3.3955e-01, 8.0658e-02, 1.9582e-01, 1.0000e-01, -1.3555e+00, 3.4126e-01
3.5885e-01, 8.1672e-02, 1.9947e-01, 1.0000e-01, -1.4236e+00, 3.4126e-01
3.6357e-01, 8.2220e-02, 1.9317e-01, 1.0000e-01, -1.4895e+00, 3.4126e-01
3.8135e-01, 8.3352e-02, 1.9568e-01, 1.0000e-01, -1.5563e+00, 3.7538e-01
3.8556e-01, 8.3903e-02, 1.8950e-01, 1.0000e-01, -1.6274e+00, 3.7538e-01
4.0408e-01, 8.5098e-02, 1.9177e-01, 1.0000e-01, -1.6994e+00, 3.7538e-01
4.0778e-01, 8.5678e-02, 1.8573e-01, 1.0000e-01, -1.7691e+00, 3.7538e-01
4.2593e-01, 8.6952e-02, 1.8786e-01, 1.0000e-01, -1.8396e+00, 3.7538e-01
4.2824e-01, 8.7589e-02, 1.8180e-01, 1.0000e-01, -1.9079e+00, 4.1292e-01
4.4686e-01, 8.8984e-02, 1.8392e-01, 1.0000e-01, -1.9838e+00, 4.1292e-01
4.4900e-01, 8.9687e-02, 1.7783e-01, 1.0000e-01, -2.0573e+00, 4.1292e-01
4.6796e-01, 9.1228e-02, 1.7988e-01, 1.0000e-01, -2.1315e+00, 4.1292e-01
4.6789e-01, 9.2036e-02, 1.7342e-01, 1.0000e-01, -2.2031e+00, 4.1292e-01
4.8038e-01, 9.3507e-02, 1.7280e-01, 1.0000e-01, -2.2745e+00, 4.5421e-01
4.9088e-01, 9.4928e-02, 1.7116e-01, 1.0000e-01, -2.3522e+00, 4.5421e-01
5.0054e-01, 9.6386e-02, 1.6906e-01, 1.0000e-01, -2.4290e+00, 4.5421e-01
5.0012e-01, 9.7388e-02, 1.6331e-01, 1.0000e-01, -2.5032e+00, 4.5421e-01
5.0194e-01, 9.8616e-02, 1.5884e-01, 1.0000e-01, -2.5753e+00, 4.5421e-01
5.0415e-01, 1.0003e-01, 1.5481e-01, 1.0000e-01, -2.6457e+00, 4.9963e-01
5.0681e-01, 1.0160e-01, 1.5101e-01, 1.0000e-01, -2.7211e+00, 4.9963e-01
5.5398e-01, 1.0663e-01, 1.6199e-01, 1.0000e-01, -2.8020e+00, 4.9963e-01
5.7923e-01, 1.1169e-01, 1.6445e-01, 1.0000e-01, -2.8842e+00, 4.9963e-01
5.7188e-01, 1.1135e-01, 1.5752e-01, 1.0000e-01, -2.9629e+00, 4.9963e-01
5.6895e-01, 1.1256e-01, 1.5208e-01, 1.0000e-01, -3.0389e+00, 5.4960e-01
5.6649e-01, 1.1504e-01, 1.4661e-01, 1.0000e-01, -3.1195e+00, 5.4960e-01
5.6438e-01, 1.1844e-01, 1.4120e-01, 1.0000e-01, -3.1971e+00, 5.4960e-01
5.6271e-01, 1.2224e-01, 1.3618e-01, 1.0000e-01, -3.2719e+00, 5.4960e-01
5.3929e-01, 1.2385e-01, 1.2564e-01, 1.0000e-01, -3.3410e+00, 5.4960e-01
5.7359e-01, 1.3165e-01, 1.3087e-01, 1.0000e-01, -3.4129e+00, 6.0456e-01
5.4577e-01, 1.3214e-01, 1.1992e-01, 1.0000e-01, -3.4854e+00, 6.0456e-01
5.3213e-01, 1.3519e-01, 1.1278e-01, 1.0000e-01, -3.5536e+00, 6.0456e-01
5.7176e-01, 1.4422e-01, 1.1911e-01, 1.0000e-01, -3.6256e+00, 6.0456e-01
5.4183e-01, 1.4362e-01, 1.0884e-01, 1.0000e-01, -3.6914e+00, 6.0456e-01
5.5399e-01, 1.4930e-01, 1.0867e-01, 1.0000e-01, -3.7571e+00, 6.6501e-01
5.2994e-01, 1.4877e-01, 1.0056e-01, 1.0000e-01, -3.8240e+00, 6.6501e-01
5.1518e-01, 1.5025e-01, 9.4654e-02, 1.0000e-01, -3.8869e+00, 6.6501e-01
5.5961e-01, 1.5832e-01, 1.0234e-01, 1.0000e-01, -3.9550e+00, 6.6501e-01
5.4088e-01, 1.5601e-01, 9.6529e-02, 7.5000e-02, -4.0192e+00, 6.6501e-01
5.2962e-01, 1.5590e-01, 9.2281e-02, 7.5000e-02, -4.0805e+00, 7.3151e-01
5.2405e-01, 1.5596e-01, 8.9488e-02, 7.5000e-02, -4.1460e+00, 7.3151e-01
5.2015e-01, 1.5602e-01, 8.7155e-02, 7.5000e-02, -4.2097e+00, 7.3151e-01
5.1918e-01, 1.5634e-01, 8.5557e-02, 7.5000e-02, -4.2723e+00, 7.3151e-01
5.1882e-01, 1.5665e-01, 8.4166e-02, 7.5000e-02, -4.3339e+00, 7.3151e-01
5.1823e-01, 1.5690e-01, 8.2796e-02, 7.5000e-02, -4.3945e+00, 8.0466e-01
5.1725e-01, 1.5709e-01, 8.1353e-02, 7.5000e-02, -4.4599e+00, 8.0466e-01
5.1553e-01, 1.5718e-01, 7.9775e-02, 7.5000e-02, -4.5241e+00, 8.0466e-01
5.1236e-01, 1.5715e-01, 7.7974e-02, 7.5000e-02, -4.5869e+00, 8.0466e-01
5.0738e-01, 1.5700e-01, 7.5882e-02, 7.5000e-02, -4.6479e+00, 8.0466e-01
5.0225e-01, 1.5691e-01, 7.3830e-02, 7.5000e-02, -4.7073e+00, 8.8513e-01
4.9790e-01, 1.5690e-01, 7.1954e-02, 7.5000e-02, -4.7710e+00, 8.8513e-01
4.9359e-01, 1.5684e-01, 7.0127e-02, 7.5000e-02, -4.8331e+00, 8.8513e-01
4.9055e-01, 1.5692e-01, 6.8599e-02, 7.5000e-02, -4.8938e+00, 8.8513e-01
4.8799e-01, 1.5702e-01, 6.7221e-02, 7.5000e-02, -4.9533e+00, 8.8513e-01
4.8538e-01, 1.5708e-01, 6.5890e-02, 7.5000e-02, -5.0116e+00, 9.7364e-01
4.8257e-01, 1.5709e-01, 6.4541e-02, 7.5000e-02, -5.0745e+00, 9.7364e-01
4.7921e-01, 1.5697e-01, 6.3119e-02, 7.5000e-02, -5.1359e+00, 9.7364e-01
5.0889e-01, 1.6175e-01, 6.7164e-02, 7.5000e-02, -5.2013e+00, 9.7364e-01
4.8914e-01, 1.5778e-01, 6.3332e-02, 7.5000e-02, -5.2630e+00, 9.7364e-01
4.8075e-01, 1.5811e-01, 6.0959e-02, 7.5000e-02, -5.3223e+00, 1.0710e+00
4.7711e-01, 1.5793e-01, 5.9613e-02, 7.5000e-02, -5.3862e+00, 1.0710e+00
5.0878e-01, 1.6310e-01, 6.3775e-02, 7.5000e-02, -5.4545e+00, 1.0710e+00
4.9166e-01, 1.5950e-01, 6.0536e-02, 7.5000e-02, -5.5193e+00, 1.0710e+00
4.8748e-01, 1.5997e-01, 5.9001e-02, 7.5000e-02, -5.5825e+00, 1.0710e+00
4.8499e-01, 1.5994e-01, 5.7906e-02, 7.5000e-02, -5.6445e+00, 1.1781e+00
4.8143e-01, 1.5976e-01, 5.6651e-02, 7.5000e-02, -5.7113e+00, 1.1781e+00
4.8566e-01, 1.6055e-01, 5.6593e-02, 5.6250e-02, -5.7779e+00, 1.1781e+00
4.8508e-01, 1.6045e-01, 5.5866e-02, 5.6250e-02, -5.8437e+00, 1.1781e+00
4.8553e-01, 1.6061e-01, 5.5294e-02, 5.6250e-02, -5.9089e+00, 1.1781e+00
4.8649e-01, 1.6075e-01, 5.4827e-02, 5.6250e-02, -5.9735e+00, 1.2959e+00
4.8782e-01, 1.6090e-01, 5.4407e-02, 5.6250e-02, -6.0440e+00, 1.2959e+00
4.8933e-01, 1.6104e-01, 5.4005e-02, 5.6250e-02, -6.1140e+00, 1.2959e+00
4.9071e-01, 1.6115e-01, 5.3598e-02, 5.6250e-02, -6.1834e+00, 1.2959e+00
4.9180e-01, 1.6122e-01, 5.3166e-02, 5.6250e-02, -6.2523e+00, 1.2959e+00
4.9247e-01, 1.6125e-01, 5.2689e-02, 5.6250e-02, -6.3206e+00, 1.4255e+00
4.9280e-01, 1.6127e-01, 5.2146e-02, 5.6250e-02, -6.3950e+00, 1.4255e+00
4.9309e-01, 1.6131e-01, 5.1586e-02, 5.6250e-02, -6.4685e+00, 1.4255e+00
4.9332e-01, 1.6137e-01, 5.1031e-02, 5.6250e-02, -6.5412e+00, 1.4255e+00
4.9330e-01, 1.6142e-01, 5.0460e-02, 5.6250e-02, -6.6132e+00, 1.4255e+00
4.9438e-01, 1.6163e-01, 5.0047e-02, 5.6250e-02, -6.6845e+00, 1.5681e+00
